identifier,logFC,logCPM,p-Value,FDR
TAF13,-0.844226094,3.711794757,0.001,0.171264274
STRADB,-0.928773836,5.730884103,0.001,0.189128919
POMP,-0.93481342,6.002543301,0.001,0.168559697
LAMTOR5,-0.935308575,5.883217216,0.001,0.168559697
CCDC69,-0.98784435,7.818812309,0.001,0.189128919
ZNF32,-0.998356487,5.187376305,0.001,0.186660229
IQSEC2,-1.04784131,4.299756556,0.001,0.183323896
APIP,-1.076187475,4.776862425,0,0.136646948
GDF9,-1.135908312,5.817236853,0.001,0.180319611
SCUBE2,-1.14405114,3.187676218,0.001,0.164157572
C20orf24,-1.150680163,6.27395113,0,0.113989333
ZSWIM7,-1.186488812,4.137522212,0,0.145326101
TIMM8B,-1.205401563,5.258298386,0.001,0.168559697
LOC102724532,-1.246809233,4.105622715,0.001,0.160492354
PRR16,-1.288412906,3.24344893,0.001,0.160492354
AHRR,-2.170593924,1.276416086,0.001,0.157312021
LEFTY2,-2.272494919,1.821308941,0.001,0.180319611
IRX3,-2.472648264,4.311735245,0,0.071566364
VMO1,-3.085378852,2.013462248,0,0.153520867
PVALB,-3.930881782,1.664723757,0,0.083296721
MT1DP,-4.847473993,-0.814785727,0.001,0.160492354
CALML5,5.963503699,-3.378228072,0.004,0.209322496
LOC101929116,5.955003961,-1.814523507,0.003,0.2032697
LOC101929694,5.90861319,-3.647680575,0.003,0.2032697
LINC01205,5.787445034,-1.871545707,0.002,0.194174118
LINC01241,5.766495969,-3.600638739,0.002,0.189521674
TMPRSS11A,5.729461847,-3.11277411,0.005,0.217960803
LOC101928942,5.665029398,-3.740457579,0.003,0.2032697
LOC100507461,5.592547928,-3.794981511,0.003,0.2032697
LINC01565,5.539759295,-3.04654645,0.002,0.191234855
LOC101928358,5.535881537,-3.864753272,0.004,0.2032697
SCGB1D4,5.507983709,-3.938157735,0.009,0.244562119
TTR,5.498370648,0.259640043,0.004,0.210678648
LINC01284,5.497097148,-3.848119829,0.003,0.2032697
SSX8,5.478335125,-3.748857148,0.002,0.189521674
TMEM225,5.468027372,-3.731316294,0.005,0.218790221
NCRNA00250,5.413618001,-3.799924875,0.003,0.2032697
OR13D1,5.37036544,-3.77527029,0.002,0.191234855
LINC01192,5.354916579,-2.032931381,0.004,0.2032697
CALCB,5.320669393,-2.394712369,0.003,0.2032697
LINC00411,5.245641179,-4.025128477,0.008,0.244562119
