identifier,logFC,logCPM,p-Value,FDR
CLDN1,1.620976802,-0.396258066,0.005,0.219283285
ZSWIM6,1.617228177,2.503166328,0.005,0.217960803
WNT3,1.614469559,-1.229479923,0.004,0.209322496
CCDC170,1.614178621,-0.418409112,0.003,0.2032697
THBS1,1.605162185,4.306462115,0.002,0.191234855
SLC35F2,1.602852482,0.63087521,0.008,0.242952984
ZC3H12B,1.599425135,-0.628134931,0.009,0.250190356
PLIN1,1.591762847,5.413889369,0.009,0.244562119
LOC401052,1.590867104,-0.889226594,0.006,0.225551985
CATSPERG,1.582444926,-0.846442312,0.009,0.244562119
IFRD1,1.567315033,5.348355328,0.007,0.228342038
GAS2L3,1.567246999,-0.342538007,0.003,0.2032697
APOBEC3D,1.554527876,-0.148796143,0.002,0.202434568
POU2F2,1.554465399,1.236482359,0.008,0.240775646
ERRFI1,1.548925459,4.049582576,0.002,0.194545554
ARSJ,1.540380305,0.327770776,0.005,0.220112623
FOXC1,1.53629403,3.168800621,0.009,0.244562119
PRDM1,1.524211282,1.021362263,0.006,0.224939553
RASGRP1,1.519793574,-1.160569305,0.01,0.255310347
KIAA1683,1.514326949,0.934386599,0.007,0.230479832
PRELP,1.5071459,5.732942468,0.003,0.2032697
TIPARP,1.50357734,3.340990292,0.006,0.220290323
ZC3H12A,1.500516123,2.638034452,0.008,0.241290484
SGIP1,1.496959691,1.229172327,0.007,0.228342038
PDE8B,1.476248029,-0.600065008,0.008,0.241718871
GFPT2,1.472476429,3.231755592,0.003,0.2032697
CABP4,1.468720178,0.49860812,0.006,0.220290323
RAD51B,1.467123311,0.207150473,0.008,0.24169571
MICB,1.461430784,0.265654079,0.007,0.228197549
EIF4A3,1.450814346,4.898869782,0.006,0.220290323
FAM72C,1.445406284,0.211592345,0.01,0.256134303
C7,1.444646742,2.772438013,0.005,0.218446089
QPCT,1.444091241,-0.757135692,0.004,0.209807759
MAP3K8,1.435660369,2.980132247,0.006,0.225342249
TUFT1,1.42383085,2.339520946,0.008,0.24169571
DUXAP10,1.402823501,0.237200858,0.006,0.220112623
SHROOM3,1.379109162,-0.022469879,0.007,0.237835159
ZC3HAV1,1.377043292,2.939056984,0.005,0.219283285
S1PR2,1.3634726,0.303863781,0.003,0.2032697
FAM122C,1.359456859,-0.02110948,0.007,0.228342038
HRH1,1.355501114,0.888278658,0.004,0.2032697
UGCG,1.343334831,3.104020377,0.006,0.220112623
SOX9,1.307589727,2.276363127,0.009,0.244562119
LYVE1,1.300528333,4.055286464,0.006,0.225551985
BCL2L11,1.299192305,3.433578522,0.008,0.243801287
EIF2AK3,1.289702488,2.929880921,0.003,0.2032697
C11orf63,1.284992431,-0.808721075,0.004,0.209322496
SERPINB8,1.282179819,0.480701094,0.004,0.210321752
LEPR,1.280183457,2.769838346,0.004,0.210678648
CACNB2,1.279064767,0.665927852,0.006,0.227254775
CACNA2D4,1.278154194,0.277043587,0.002,0.200783743
NR2F1,1.257399955,0.636174301,0.01,0.256134303
CLCF1,1.218467593,-0.036647018,0.01,0.256208795
PSD3,1.217615049,1.714792354,0.004,0.210678648
ADNP2,1.202985122,1.852160978,0.004,0.209322496
DYNC2H1,1.200423832,1.316272104,0.004,0.210321752
OR2A20P,1.199214978,1.081188582,0.003,0.2032697
SYT17,1.194217519,-0.603312124,0.01,0.253219777
VASH2,1.18352147,-0.078386682,0.01,0.256134303
TMEM2,1.176623417,3.466772094,0.006,0.22100595
OR2A9P,1.172317514,1.118431689,0.006,0.220112623
USP32P2,1.166524484,2.093278498,0.004,0.207730819
EDIL3,1.158494892,1.274953982,0.007,0.239546485
LOX,1.142841159,1.772892748,0.004,0.210678648
MXD1,1.142794148,2.651829712,0.008,0.241718871
NHSL1,1.133635665,2.071171016,0.002,0.194174118
DLC1,1.129318372,4.712942155,0.005,0.218790221
CYBB,1.116047981,2.847816652,0.01,0.256134303
ETV5,1.108779189,1.631012797,0.008,0.244562119
CEP126,1.097989765,1.191953649,0.01,0.25470289
PTPRF,1.093325254,3.707023676,0.003,0.2032697
COCH,1.067403135,0.662098953,0.004,0.210678648
SCRN1,1.06124488,2.459052966,0.009,0.250483329
PPM1D,1.055201652,3.056847023,0.006,0.225551985
LILRB4,1.050386679,0.02219696,0.01,0.253657854
MFSD4A,1.046199463,-0.212845638,0.008,0.241290484
CCDC144B,1.024203834,2.018761145,0.008,0.241718871
PXDNL,1.015783913,2.044887856,0.003,0.2032697
AHR,1.012790273,3.909374588,0.009,0.250483329
TRIM14,1.0020034,1.325337341,0.009,0.244562119
FRMD4B,0.989772997,1.989143502,0.008,0.243801287
CD84,0.95190467,1.009148732,0.01,0.258231456
TIAM2,0.949212122,1.812295322,0.01,0.257775321
ADAMTS5,0.929241377,3.291171147,0.002,0.194545554
XYLT1,0.927767302,2.436671445,0.004,0.210678648
MYOF,0.91540675,3.859769989,0.01,0.255885802
SLC7A1,0.901933367,1.624727762,0.009,0.245787643
SMG1P3,0.878007729,4.424715293,0.008,0.244562119
UGDH,0.856759559,2.601370212,0.008,0.24169571
PMP22,0.848233216,5.94604011,0.005,0.216150692
AMPH,0.814025359,1.650281606,0.01,0.253219777
NPIPB5,0.756241543,6.702902417,0.01,0.253657854
NT5DC3,0.698881173,3.140110957,0.01,0.257566997
UBE2D2,-0.605976932,6.216936047,0.01,0.254337431
PIGX,-0.634119206,3.536225016,0.008,0.244562119
TTC1,-0.650096597,5.347839099,0.008,0.244562119
SRP14,-0.67004288,6.9718643,0.01,0.253219777
GKAP1,-0.67301527,4.456967746,0.009,0.253219777
FIBP,-0.682123983,4.464363959,0.008,0.244562119
MED11,-0.683860891,3.662741503,0.01,0.256134303
VTI1B,-0.68810115,5.659624079,0.008,0.24169571
ATPAF1,-0.700268821,6.310459148,0.01,0.256134303
DNAJC19,-0.704739121,5.384369772,0.01,0.256134303
MRPL24,-0.70768618,5.420623872,0.008,0.244562119
TRIM16L,-0.711972004,3.875540011,0.005,0.220109417
POLR2F,-0.720418347,5.142534268,0.01,0.253657854
GCSH,-0.721654696,4.953413554,0.003,0.2032697
TMEM147,-0.723793282,5.091805511,0.009,0.250483329
LSM10,-0.727477664,5.417755097,0.008,0.244562119
MRPL40,-0.732242156,4.992968214,0.006,0.222566673
C11orf74,-0.732525327,3.381673351,0.008,0.241718871
SERF2-C15ORF63,-0.746969754,6.662172701,0.007,0.232419709
NDUFAF2,-0.748897861,4.341848696,0.009,0.244809188
UBE3D,-0.751419557,0.803371403,0.005,0.218790221
MALSU1,-0.759460291,5.020893161,0.008,0.244562119
COA4,-0.759460658,4.268139555,0.006,0.220112623
ELP6,-0.762161828,3.747294686,0.008,0.244562119
MTX2,-0.76560392,5.402885086,0.009,0.250483329
CMC4,-0.770799433,3.571192798,0.01,0.256134303
MON1A,-0.775342861,3.330428814,0.01,0.253657854
CABP7,-0.777720811,2.451060446,0.01,0.253657854
MID1IP1,-0.785803683,7.529485198,0.007,0.240434775
COA6,-0.789750691,4.492194047,0.008,0.244562119
KIF22,-0.791582194,4.741727082,0.007,0.236598878
TSEN15,-0.796355939,4.263687457,0.004,0.209322496
NDFIP2,-0.799623727,4.814329374,0.004,0.209322496
HYPK,-0.808074592,5.549704377,0.007,0.228342038
ZCRB1,-0.809358336,5.098141377,0.01,0.258231456
PARK7,-0.80954437,7.531140602,0.004,0.210321752
COX16,-0.810772888,5.115546525,0.005,0.210678648
GTF3C6,-0.812588185,5.563067345,0.006,0.22244025
MINOS1,-0.823096057,5.924037054,0.004,0.209322496
MRPS15,-0.824447422,6.160455024,0.005,0.218790221
STOML2,-0.826785209,6.418551373,0.004,0.210321752
KCNS3,-0.827135675,5.555210931,0.007,0.240346411
CACNA2D3,-0.828248986,4.274673719,0.006,0.225551985
CTNNBIP1,-0.828628654,4.737247335,0.002,0.200783743
C7orf55,-0.835751734,5.703504255,0.008,0.241718871
COPS5,-0.836820003,6.016362721,0.006,0.227254775
CHCHD5,-0.839831235,3.822188506,0.009,0.25147152
YBX3P1,-0.840002771,4.975049573,0.009,0.246209156
SPAG7,-0.843739882,6.901251541,0.004,0.209322496
NDUFS3,-0.850927389,6.984373187,0.008,0.24169571
TPI1,-0.853190202,9.880338633,0.009,0.250483329
PET100,-0.865972534,4.505624612,0.006,0.222786745
ST3GAL2,-0.868880628,5.557629355,0.005,0.218790221
MRPL21,-0.883282799,5.011395606,0.005,0.219690747
TP53TG1,-0.890141555,2.959945687,0.01,0.253657854
CDKN2AIPNL,-0.890250824,5.133924211,0.002,0.191234855
OIP5,-0.890657113,1.884143657,0.01,0.253219777
RPS20,-0.892139407,9.21834325,0.009,0.244809188
ATP5E,-0.89616719,6.61096929,0.008,0.241718871
CBWD2,-0.907120012,4.584753509,0.003,0.2032697
CDK5,-0.908698978,2.062544203,0.003,0.2032697
TOMM5,-0.911723971,5.142403891,0.002,0.194174118
PRR34,-0.913299006,2.764990465,0.005,0.219690747
HINT1,-0.913336927,6.300894193,0.007,0.230479832
BAD,-0.915329458,4.847241027,0.007,0.238464627
ATP5L,-0.926073178,7.199005635,0.003,0.2032697
SFXN5,-0.926346332,4.365663053,0.01,0.258694441
AAMDC,-0.935410657,6.425076593,0.01,0.25470289
MRPL51,-0.938835683,6.05051631,0.008,0.240775646
KIAA0930,-0.940491919,5.798300044,0.006,0.221179244
VAMP5,-0.942875504,6.19249373,0.002,0.191234855
SEPW1,-0.94656507,9.245284746,0.004,0.2032697
NDUFA6,-0.947303937,6.588650585,0.007,0.238464627
SLIRP,-0.948877354,4.952424699,0.005,0.220112623
SHISA2,-0.951096628,2.734705714,0.005,0.217960803
NUDT2,-0.95302658,3.17329896,0.008,0.244562119
COX5B,-0.954373096,8.693969792,0.004,0.210678648
SNRPN,-0.957712115,7.060146243,0.004,0.209322496
SNURF,-0.957941166,7.060129654,0.004,0.209322496
AURKA,-0.964786182,1.935529166,0.003,0.2032697
CBWD1,-0.969140576,4.120515035,0.004,0.210678648
NDUFB2,-0.971260336,7.281363254,0.004,0.210678648
NAA38,-0.971706159,5.830126288,0.009,0.247230904
CKM,-0.984450785,14.98282584,0.009,0.244809188
GPD1,-0.99010219,8.685589127,0.003,0.2032697
RPS29,-0.997965068,7.447382854,0.008,0.240775646
DHRS4L1,-0.999341444,2.012620455,0.009,0.246209156
MRPL33,-1.003892352,5.686315763,0.007,0.230796247
LOC100507291,-1.007247218,-0.442282612,0.01,0.256134303
ATP23,-1.021395762,3.356338663,0.003,0.2032697
UQCRQ,-1.02533294,7.50913636,0.003,0.2032697
NDUFC2,-1.028996826,7.413226381,0.003,0.2032697
BOLA3,-1.03053701,3.820790562,0.002,0.191234855
TCEB2,-1.031940452,7.046947808,0.006,0.220112623
COX7A1,-1.034192549,10.01744187,0.007,0.230796247
DHRS4,-1.035554214,5.67250822,0.003,0.2032697
COX6C,-1.044768216,7.176628391,0.008,0.241889714
FHL2,-1.06208548,5.210351802,0.002,0.191234855
SLN,-1.068072539,10.61170183,0.007,0.228342038
NDUFA1,-1.068492994,7.570029937,0.005,0.217960803
RPL21P28,-1.069723728,7.797424132,0.009,0.25147152
RPL21,-1.069775743,7.798799676,0.009,0.25147152
NDUFC2-KCTD14,-1.079891016,7.091822312,0.002,0.191234855
ATP5I,-1.087870109,6.660127963,0.002,0.194545554
UQCC2,-1.105223298,4.873958766,0.002,0.191234855
LOC101929231,-1.118488632,3.492960768,0.003,0.2032697
DBNDD1,-1.141444383,4.599888789,0.004,0.209322496
NDUFB9,-1.152823358,8.488458395,0.002,0.191234855
LAMB3,-1.156052045,3.672988651,0.005,0.211864668
CSF3R,-1.201551355,1.373351336,0.01,0.253219777
USMG5,-1.202429443,6.334919771,0.008,0.244562119
DHRS4L2,-1.204374064,5.675360962,0.004,0.2032697
SERPINA1,-1.309595416,0.120567769,0.003,0.2032697
C1orf53,-1.363708912,0.515327613,0.003,0.2032697
GLT1D1,-1.390168928,2.464137789,0.004,0.210678648
GREM2,-1.408072293,3.383213381,0.008,0.242047298
UQCRBP1,-1.45516079,2.695563982,0.006,0.220112623
FAM24B,-1.550832676,-1.470835555,0.005,0.218790221
S100A8,-1.578915644,-0.14085513,0.004,0.209322496
CDH22,-1.748555167,0.221934309,0.002,0.194545554
LEFTY1,-2.000914862,0.516095631,0.004,0.209322496
C3orf14,1.836316613,-1.043897164,0.011,0.259241351
LINC01291,3.608921573,-3.214980354,0.011,0.259241351
TPI1P2,-2.330423686,0.051553083,0.011,0.259241351
CHAF1B,-0.852636213,4.398121223,0.011,0.259446316
CENPE,1.672445286,-0.595480773,0.011,0.260061037
E2F2,2.025803815,-1.194485134,0.011,0.260274136
OSMR,1.052805468,2.329070661,0.011,0.260274136
NDUFC1,-0.775729151,6.56863761,0.011,0.260274136
GP9,2.120815912,-3.041306816,0.011,0.260274136
CDON,0.943646532,2.047248611,0.011,0.261304581
POU3F3,2.653619759,-1.334780301,0.011,0.261304581
LINC01224,3.25197103,-3.080485113,0.011,0.2625314
OR7G1,4.102373513,-3.718258491,0.011,0.262650556
ZNF735,4.13971357,-3.397492496,0.011,0.262650556
RPL23AP53,0.647418951,2.376247364,0.011,0.262650556
SAMD12,1.693582764,-0.503436953,0.011,0.262650556
PAMR1,1.154973938,1.859400565,0.011,0.263012811
HIST3H2A,1.605699944,-1.340325495,0.011,0.263012811
LOC101927798,4.420661688,-4.189796974,0.011,0.263338417
FMOD,1.314378541,4.702227062,0.011,0.263338417
OR8S1,3.366933168,-3.518946815,0.011,0.263338417
KLHL11,1.006053928,2.920672015,0.011,0.264074622
LOC105375429,4.306439924,-3.797488561,0.011,0.264074622
LINC01122,4.068065144,-2.648720345,0.011,0.264074622
TMCO2,3.710598914,-3.874446451,0.011,0.264074622
DNAH12,2.519509854,-1.180305741,0.011,0.264074622
KLF4,1.338536592,5.525615362,0.011,0.264364563
CHRM4,-2.621598536,-2.483848933,0.011,0.264364563
LOC101928505,2.644935453,-3.387168564,0.011,0.264364563
ADAMTS1,1.489818371,6.473884108,0.011,0.264364563
BEX2,1.532161437,0.504130309,0.011,0.264364563
MCTP1,1.318539968,1.6629674,0.011,0.264693529
HSD3BP4,1.887885228,-0.719134428,0.011,0.265054168
LINC01053,3.972487191,-1.832763013,0.011,0.265054168
ELK2AP,2.719339507,-1.333075902,0.011,0.2654581
LOC105377458,3.225592179,-3.462986965,0.011,0.2654581
FAM71E2,3.867663034,-2.206745829,0.011,0.2654581
HAO1,3.430036635,-3.474069547,0.011,0.2654581
CD68,0.748078116,2.970310054,0.011,0.26563068
LOC101928728,2.467819325,-1.241878531,0.011,0.266357404
SYT15,0.856958062,1.884800771,0.011,0.26662345
BAGE,2.385763823,-2.559541951,0.011,0.266773186
BPIFC,3.178320357,-2.98982612,0.011,0.266773186
RAET1K,3.130575256,-3.009029557,0.012,0.266773186
TMPRSS11BNL,4.166623283,-3.98737351,0.012,0.266773186
TOMM7,-0.89702515,8.168011963,0.012,0.266773186
HESX1,1.904827576,-2.811119705,0.012,0.266773186
LRRC72,4.484021773,-4.159626023,0.012,0.266773186
TUSC5,1.623477104,2.502224724,0.012,0.266825862
MUC13,2.390836691,-2.465139296,0.012,0.266825862
LOC101929227,3.467154156,-0.954990683,0.012,0.267132394
EDA2R,1.517295745,-0.147879117,0.012,0.26718659
TM2D1,-0.702120778,3.791906306,0.012,0.267974961
BCAT1,1.115724844,1.331467674,0.012,0.267974961
F13B,3.685849916,-3.485203282,0.012,0.267974961
LINC00958,3.820786666,-2.326812673,0.012,0.268053666
RFX4,3.04017759,-1.519443407,0.012,0.268104644
BRD2,1.133865514,7.461553825,0.012,0.268104644
SCN3B,0.77017707,3.009651293,0.012,0.268104644
NANOS1,-1.344994619,5.870440561,0.012,0.268104644
LINC01252,1.945525211,-0.765667229,0.012,0.268104644
PHLDA2,1.679034419,0.285001773,0.012,0.268104644
SNAI3,-1.112306149,4.023671705,0.012,0.26967648
LOC100506274,3.198871293,-3.693534925,0.012,0.269766091
LINC01021,3.336831588,-3.26840771,0.012,0.269766091
CHI3L1,-2.244197877,-0.446787513,0.012,0.26996749
TIMM10,-0.774479373,4.343770307,0.012,0.26996749
KRTAP5-2,1.820345316,-1.361451097,0.012,0.26996749
LY6G6C,3.309731315,-3.41630466,0.012,0.26996749
LOC101927476,3.381571945,-2.344459346,0.012,0.26996749
ZNF169,1.16732252,0.600804986,0.012,0.26996749
TINCR,2.411146873,-1.1528515,0.012,0.270246963
UBL5,-0.718698,6.236588388,0.012,0.270246963
LINC01551,3.453494376,-1.906765128,0.012,0.270246963
FIRRE,2.184469711,-2.045288404,0.012,0.270246963
RPS28,-0.754410081,7.612785357,0.012,0.270246963
CYP2G1P,2.692563345,-2.30658362,0.012,0.270246963
CASC21,3.362342565,-3.601136637,0.012,0.270246963
WDR76,1.285659453,-0.179442023,0.012,0.270246963
AGBL4-IT1,3.922909393,-3.563925885,0.012,0.270246963
LINC01483,4.350727525,-3.292988911,0.012,0.270246963
YEATS4,-0.839592584,2.231279767,0.012,0.270246963
NUGGC,2.699727143,-1.939944317,0.012,0.270246963
APOBEC1,3.649683631,-3.978278331,0.012,0.270246963
ZAN,3.422051763,-1.147193517,0.012,0.270246963
CNNM1,2.259725601,-0.793407981,0.012,0.271158958
TMC1,2.143897521,-1.864085303,0.012,0.271455402
APOPT1,-0.757361887,5.979015596,0.012,0.271455402
NT5M,-0.936325227,3.622617916,0.012,0.271455402
LINC00877,2.909571021,-2.437153864,0.012,0.271524129
LOC100133050,2.429881568,-2.332691963,0.012,0.271927317
MRPL53,-0.77388861,5.463882822,0.012,0.272006549
CBWD3,-0.702336443,3.903127176,0.013,0.272063499
JMJD1C,1.458774923,4.937391444,0.013,0.272658163
NDUFA11,-0.707066275,6.28752601,0.013,0.272962487
PLA2G2A,2.051974438,2.864093679,0.013,0.273556785
ARRDC5,2.724412371,-1.988484566,0.013,0.273556785
ENPP1,0.693163007,2.427683144,0.013,0.273556785
NDUFB1,-1.088723082,5.347228593,0.013,0.274681084
TSHZ2,1.009946613,2.668207785,0.013,0.274840182
CRIP3,1.523263768,-2.153257485,0.013,0.274845493
SMIM4,-0.766137008,3.960789836,0.013,0.274845493
NANOG,3.070075231,-2.250894048,0.013,0.274845493
FBXO36,1.400304247,-0.817415612,0.013,0.276777608
DGCR6L,-0.79166898,5.934800068,0.013,0.277157092
FAM138D,3.656423938,-1.565406519,0.013,0.277220146
ARAP2,1.33285837,0.143136497,0.013,0.277415745
BMP6,0.812549489,2.939494125,0.013,0.277415745
MRPL20,-0.730208658,6.058023189,0.013,0.277415745
MRPS18C,-0.850070885,4.359336325,0.013,0.277415745
TGIF2-C20orf24,-0.935981647,5.052833531,0.013,0.277415745
TPM1,-0.963011388,12.30280511,0.013,0.277415745
SCML4,2.083912757,-1.746733921,0.013,0.277415745
HRASLS,-0.844701385,4.74773949,0.013,0.277415745
LOC105379450,4.178488436,-4.280277783,0.013,0.277415745
NHS,1.089568433,0.413756475,0.013,0.277415745
LINC00888,-0.89101996,4.126929322,0.013,0.277415745
LUADT1,3.664649231,-3.722005264,0.013,0.277415745
THBS2,0.833916298,3.510699887,0.013,0.277415745
SFTPB,3.181418758,-2.47693641,0.013,0.277415745
SCN8A,1.614846078,-0.455387903,0.013,0.277415745
CBWD6,-0.721700668,3.691112518,0.013,0.277415745
SLC24A4,1.393324097,-0.008310298,0.013,0.277415745
SRPX2,0.872704813,1.340088541,0.013,0.277415745
LCE3D,4.674667084,-3.980880045,0.013,0.277627262
LCN12,2.753451206,-2.626230566,0.013,0.278284192
GATA2,1.06651534,3.575423242,0.013,0.278560013
LINC00578,3.406008716,-2.949404609,0.013,0.278764139
LOC101928449,3.627642071,-3.866956949,0.013,0.279102141
GYPC,-0.816615265,6.86351041,0.013,0.279102141
PDCL2,4.532331434,-4.042059195,0.013,0.279102141
CHCHD3,-0.762326204,7.187530187,0.013,0.279102141
GHET1,3.210575895,-3.049601775,0.014,0.280160441
LOC101927284,3.529255937,-2.469889006,0.014,0.280208987
C19orf35,1.777922857,0.279128413,0.014,0.280208987
PARP11,1.186727892,0.881785457,0.014,0.280286983
LOC100268168,2.141472566,-1.506321391,0.014,0.280286983
ANKRD45,3.362224541,-2.481058089,0.014,0.280786449
CT45A3,3.702885577,-1.448826387,0.014,0.280786449
AZGP1,2.085131928,0.410263327,0.014,0.280786449
ARPC2,-0.703318242,7.097747263,0.014,0.280786449
LINC01516,3.041472139,-3.030541099,0.014,0.280786449
PTGER3,1.247364598,0.730084011,0.014,0.280786449
UROS,-0.750418181,5.209937902,0.014,0.280786449
LOC101928887,3.919892921,-2.639728063,0.014,0.280786449
FCGR1CP,2.970867913,-2.850751485,0.014,0.280786449
LOC105375396,3.607112493,-2.661482309,0.014,0.280903939
LOC727924,3.353197489,-3.609042785,0.014,0.280903939
ST20-MTHFS,-0.754531005,2.796931949,0.014,0.280903939
TNIP3,3.41592813,-2.287565815,0.014,0.280903939
TDGF1P3,3.440767222,-2.496117159,0.014,0.280903939
CCL28,1.786001254,-1.701441384,0.014,0.280903939
GALNT15,0.786321191,4.43345966,0.014,0.280903939
NME9,-1.034781162,0.125541637,0.014,0.280903939
RSPH14,3.263958,-2.540632516,0.014,0.280903939
LINC00608,4.064905404,-1.752777241,0.014,0.280903939
PCDH8,1.602069938,1.06237036,0.014,0.280903939
SHISA4,-1.138463999,8.513430779,0.014,0.280903939
LVCAT5,4.144356636,-2.828584858,0.014,0.280903939
DCUN1D3,1.030792361,2.463998972,0.014,0.280903939
LOC401463,2.514011202,-2.57231589,0.014,0.280903939
LOC105375483,3.376488305,-2.776925048,0.014,0.280903939
MRPL15,-0.809915205,6.063811883,0.014,0.280903939
HS3ST2,2.401113141,-0.719674129,0.014,0.280903939
C1orf194,3.329228353,-3.853890352,0.014,0.280903939
RAB3B,2.221170434,-0.849642276,0.014,0.280903939
TMEM251,-0.862723087,2.545321724,0.014,0.281311105
LINC00152,1.449343638,2.02045046,0.014,0.281646227
LINC00102,3.229339223,-2.609351355,0.014,0.283547935
CORO2B,0.71265072,2.00573543,0.014,0.283674924
BSPRY,1.822897364,-2.069191447,0.014,0.283674924
CCR7,2.041136891,-1.432110137,0.014,0.283674924
GLI3,0.789292686,1.454194103,0.014,0.283674924
APOL4,1.201217079,1.263139892,0.014,0.283674924
KERA,3.260056742,-0.089354019,0.014,0.283674924
GAMT,-0.968139429,9.51166934,0.014,0.283674924
RBP4,1.648123471,3.121544016,0.014,0.283674924
LMO1,-0.994459913,3.886416907,0.014,0.283761216
SNHG12,1.330495465,2.647646651,0.014,0.283761216
LINC01410,1.972461931,-1.417256915,0.014,0.283761216
ZNF280C,1.347523694,0.205240191,0.015,0.283761216
CCDC144A,1.249825537,0.539309922,0.015,0.284057276
SNRNP27,-0.623519675,5.003702499,0.015,0.284057276
NDUFA3,-0.732316028,5.909874866,0.015,0.284057276
SKIDA1,1.600867141,-0.372970544,0.015,0.284057276
FZD5,0.713642546,2.444179994,0.015,0.284057276
RUNDC3B,1.127435485,0.213399795,0.015,0.284057276
SHFM1,-1.025381901,5.092767213,0.015,0.284105099
ZMAT5,-0.7355679,4.220506605,0.015,0.284105099
GGT7,-1.19243554,5.388397628,0.015,0.285417104
TXLNG,1.037066093,3.123132899,0.015,0.285560471
SMG1P1,0.841302538,4.643527009,0.015,0.285560471
MMADHC,-0.768699749,6.181169622,0.015,0.285578486
KPNA2,1.493591223,2.924112652,0.015,0.285857001
PAM16,-0.937564371,5.20753162,0.015,0.285857001
LOC101929697,4.422880891,-3.289922966,0.015,0.285857001
CXCL13,3.78828764,-2.795369322,0.015,0.285857001
IMPA2,-0.918850458,7.525788138,0.015,0.285857001
PRKAG2,0.893798345,2.987864449,0.015,0.285857001
MEX3B,0.890425894,1.715951274,0.015,0.285857001
NCCRP1,3.106835933,-2.619986603,0.015,0.285857001
MAFA,-1.014012235,5.614288267,0.015,0.285857001
HIST1H3J,3.336312699,-4.074985286,0.015,0.285857001
LDLR,1.426368166,3.560491987,0.015,0.285857001
KANK4,1.297236866,-0.257996421,0.015,0.286367485
SHC4,1.223718547,-0.759099559,0.015,0.286367485
MACROD1,-0.947229462,8.272723114,0.015,0.286367485
TAC3,2.11005802,-3.342022635,0.015,0.286367485
NKX2-5,2.697144555,-2.122935107,0.015,0.286367485
COX8A,-0.790439829,7.946043182,0.015,0.287261901
CREB5,1.255075589,2.59170251,0.015,0.288129319
TIMM17B,-0.762660304,5.536317059,0.015,0.288129319
CBWD5,-0.704220292,5.246433358,0.015,0.289144117
MTFR2,2.01330211,-1.148234356,0.015,0.289223596
GSTTP2,3.043320457,-2.671424376,0.015,0.289223596
LINC01504,2.115289276,-1.119675881,0.015,0.289450096
EMC4,-0.656446792,6.116431552,0.015,0.289450096
LOC101928272,3.348714011,-2.964034827,0.015,0.289450096
CWH43,3.738910813,-2.972520804,0.015,0.289450096
APOC4,3.145337116,-2.937580796,0.015,0.289450096
CCND2,0.922077062,2.342044546,0.015,0.289576322
SDHAF4,-0.755431552,2.693150332,0.016,0.289576322
C2orf91,3.108818109,-1.973804088,0.016,0.289576322
MYCNOS,2.662625115,-2.702664696,0.016,0.289576322
ZNF80,2.95980271,-2.520818305,0.016,0.289576322
SIK2,0.742459703,4.662746906,0.016,0.289576322
MRPL52,-0.683132646,3.95329527,0.016,0.29013203
BAK1,-0.648800168,3.5765757,0.016,0.29013203
EZH2,1.384748853,1.508007613,0.016,0.290135344
ABCC6P1,-1.16091001,0.801467095,0.016,0.290135344
HIST1H2BO,3.391917638,-3.734559936,0.016,0.290627654
NRG1-IT1,4.077535228,-4.276315565,0.016,0.290627654
WWC1,2.412192974,-0.637426887,0.016,0.290627654
FAM183A,3.545590912,-4.097857141,0.016,0.290627654
PABPC1L,0.952588113,0.316400858,0.016,0.290627654
TPTE,3.36233072,-1.64409206,0.016,0.290627654
BRS3,5.070443315,-2.333649021,0.016,0.290627654
PCDH19,1.220109321,1.691342653,0.016,0.290627654
AKR1D1,3.660084799,-2.716097876,0.016,0.290627654
SLC4A8,1.747088525,-0.473614176,0.016,0.29077239
LOC105377651,4.004315625,-3.849893727,0.016,0.291117806
LDHA,-1.180752749,9.006592551,0.016,0.291410413
RPGRIP1,1.863902544,-1.88903028,0.016,0.291604586
PPP1R1B,1.924378009,1.795735714,0.016,0.291604586
ATP5EP2,-2.720237266,-0.084561259,0.016,0.291604586
CACYBP,-0.53938585,5.384991261,0.016,0.291604586
CHURC1-FNTB,-0.609705144,4.925999976,0.016,0.291604586
BARX2,3.479598287,-1.780344403,0.016,0.291604586
HELB,1.634338721,-1.157084044,0.016,0.291604586
CTCFL,3.059050265,-1.758440421,0.016,0.291604586
PTPN13,0.799929368,1.867995812,0.016,0.291604586
PGR,1.003140715,1.044069467,0.016,0.291604586
TMEM261,-0.813000451,6.194134474,0.016,0.291604586
TRIM49B,3.170554171,-3.405223437,0.016,0.291604586
MYLPF,-1.095660757,11.39157664,0.016,0.291604586
LOC100131047,3.236027512,-3.199228231,0.016,0.291604586
PAPPA,0.907776006,0.741463144,0.016,0.291604586
PGM2,0.96641619,1.169022425,0.016,0.291604586
MRC1,1.02326636,3.116527008,0.016,0.291604586
SNX29P2,1.415812352,-1.121130732,0.016,0.291604586
LOC101929159,3.746539049,-2.728562293,0.016,0.291604586
NAP1L3,1.244528628,-0.348383118,0.016,0.291604586
HILPDA,1.054898241,1.408297558,0.016,0.291604586
EFNA2,2.639877395,-1.697032102,0.016,0.291604586
TMEM35,1.255349296,0.081239969,0.016,0.291604586
LOC101243545,-0.954686747,4.718094403,0.016,0.291604586
LOC101927829,4.014674343,-2.026374365,0.016,0.291604586
HEPHL1,2.956904234,-2.304482742,0.016,0.291604586
ACER1,2.879904536,-3.465920337,0.016,0.291604586
LYPD4,3.000243736,-2.96251334,0.017,0.291604586
