drug	disease	label
DB15189	C0376358	1
DB01233	C0376358	1
DB15327	C0376358	1
DB13679	C0376358	1
DB12522	C0023895	1
DB12778	C0023895	1
DB12614	C0032285	1
DB05087	C0037769	1
DB00753	C0151744	1
DB04839	C0032460	1
DB01395	C0032460	1
DB00396	C0032460	1
DB01261	C0032460	1
DB00294	C0032460	1
DB08882	C0032460	1
DB01175	C0032460	1
DB00975	C1956346	1
DB05737	C1956346	1
DB12971	C1956346	1
DB00292	C1956346	1
DB01189	C1956346	1
DB12000	C1956346	1
DB00753	C1956346	1
DB11909	C1956346	1
DB00715	C1956346	1
DB01236	C1956346	1
DB01083	C2711227	1
DB00331	C0026640	1
DB01599	C0022658	1
DB15170	C0022658	1
DB05737	C0022658	1
DB12778	C0022658	1
DB06197	C0033860	1
DB15027	C0033860	1
DB06083	C0033860	1
DB12522	C0033860	1
DB06176	C0079772	1
DB05015	C0079772	1
DB11644	C0878544	1
DB00390	C0018802	1
DB05220	C0007112	1
DB00907	C0037199	1
DB06191	C0023418	1
DB06185	C0023418	1
DB11778	C0023418	1
DB03310	C0023418	1
DB00377	C0023418	1
DB00673	C0023418	1
DB11869	C0023418	1
DB11830	C0024299	1
DB06185	C0024299	1
DB00673	C0024299	1
DB00367	C0019693	1
DB00294	C0019693	1
DB00419	C0019693	1
DB06580	C0019693	1
DB00945	C0005695	1
DB08142	C0023434	1
DB11703	C0023434	1
DB11830	C0023434	1
DB06185	C0023434	1
DB12121	C0023434	1
DB15499	C0023434	1
DB09053	C0023434	1
DB12021	C0023434	1
DB04944	C0023434	1
DB15035	C0023434	1
DB06603	C0026764	1
DB14829	C0026764	1
DB11778	C0026764	1
DB00262	C0026764	1
DB12005	C0026764	1
DB11991	C0026764	1
DB11869	C0026764	1
DB00262	C0025149	1
DB11762	C1621958	1
DB15189	C1621958	1
DB00262	C1621958	1
DB00351	C0021051	1
DB00818	C0018824	1
DB00661	C0007194	1
DB00283	C1527304	1
DB00950	C1527304	1
DB01069	C1527304	1
DB00985	C1527304	1
DB00748	C1527304	1
DB06282	C1527304	1
DB11591	C1527304	1
DB01246	C1527304	1
DB00972	C1527304	1
DB13679	C1527304	1
DB00341	C1527304	1
DB00555	C0004096	1
DB00668	C0004096	1
DB15027	C0004096	1
DB12522	C0004096	1
DB00661	C0007222	1
DB01023	C0007222	1
DB01599	C0007222	1
DB00511	C0007222	1
DB01244	C0007222	1
DB00393	C0007222	1
DB00806	C0007222	1
DB00598	C0007222	1
DB00270	C0007222	1
DB01078	C0007222	1
DB01115	C0007222	1
DB00381	C0007222	1
DB00797	C0007222	1
DB04944	C0007222	1
DB00401	C0007222	1
DB13467	C0007222	1
DB01396	C0007222	1
DB05294	C0549473	1
DB01261	C0020456	1
DB14770	C0023467	1
DB14829	C0023467	1
DB11830	C0023467	1
DB11782	C0023467	1
DB12121	C0023467	1
DB11759	C0023467	1
DB15499	C0042900	1
DB00633	C0022660	1
DB01599	C0017661	1
DB00795	C0003872	1
DB00661	C0004238	1
DB00390	C0004238	1
DB04855	C0004238	1
DB00908	C0004238	1
DB00343	C0004238	1
DB01115	C0004238	1
DB12209	C0002736	1
DB00262	C0017638	1
DB05737	C0948089	1
DB00622	C0948089	1
DB00283	C0026769	1
DB08868	C0026769	1
DB15170	C0026769	1
DB06637	C0026769	1
DB00341	C0026769	1
DB06775	C0220994	1
DB09022	C0011849	1
DB00661	C0011849	1
DB11992	C0011849	1
DB01023	C0011849	1
DB15323	C0011849	1
DB02383	C0011849	1
DB06203	C0011849	1
DB04876	C0011849	1
DB00975	C0011849	1
DB06335	C0011849	1
DB00806	C0011849	1
DB01261	C0011849	1
DB11950	C0011849	1
DB00331	C0011849	1
DB00633	C0011849	1
DB15293	C0011849	1
DB08882	C0011849	1
DB00425	C0393770	1
DB00370	C0393770	1
DB12032	C0393770	1
DB01175	C0393770	1
DB12887	C0205944	1
DB00945	C0017181	1
DB12010	C0040034	1
DB00536	C0151786	1
DB06191	C3463824	1
DB03310	C3463824	1
DB05220	C3463824	1
DB11759	C3463824	1
DB11869	C3463824	1
DB12563	C0032768	1
DB00351	C0006625	1
DB06645	C0006625	1
DB13074	C0006625	1
DB00540	C0017168	1
DB00292	C0011206	1
DB11699	C0011206	1
DB00753	C0011206	1
DB00633	C0011206	1
DB00818	C0011206	1
DB01236	C0011206	1
DB00829	C0003469	1
DB00557	C0003469	1
DB01175	C0003469	1
DB00668	C0029410	1
DB12887	C0025500	1
DB01083	C0019158	1
DB12887	C0024301	1
DB12121	C0024301	1
DB15035	C0024301	1
DB11759	C0023480	1
DB00368	C0278996	1
DB00661	C0007193	1
DB00555	C0494475	1
DB06700	C0013415	1
DB00476	C0013415	1
DB00683	C0020672	1
DB00633	C0020672	1
DB00818	C0020672	1
DB00351	C0003123	1
DB01599	C0020473	1
DB01261	C0020615	1
DB00419	C0017919	1
DB00908	C0024530	1
DB00950	C0035455	1
DB00904	C0033774	1
DB00283	C0033774	1
DB00950	C0033774	1
DB01069	C0033774	1
DB00557	C0033774	1
DB06282	C0033774	1
DB00768	C0033774	1
DB00341	C0033774	1
DB00283	C2607914	1
DB00950	C2607914	1
DB11591	C2607914	1
DB00972	C2607914	1
DB00768	C2607914	1
DB00341	C2607914	1
DB02712	C0011884	1
DB00283	C0042109	1
DB00950	C0042109	1
DB01069	C0042109	1
DB00557	C0042109	1
DB00748	C0042109	1
DB06282	C0042109	1
DB11591	C0042109	1
DB13679	C0042109	1
DB00341	C0042109	1
DB11922	C0035235	1
DB00321	C0018681	1
DB00586	C0018681	1
DB00465	C0018681	1
DB00316	C0018681	1
DB00603	C0007772	1
DB08867	C0023267	1
DB00904	C0028756	1
DB13725	C0032617	1
DB01148	C0032617	1
DB06775	C0025521	1
DB15293	C0011882	1
DB00476	C0011882	1
DB01189	C1565489	1
DB11782	C0019163	1
DB15293	C0007959	1
DB11917	C0023264	1
DB00262	C0004114	1
DB01599	C0007785	1
DB00393	C0007785	1
DB00904	C0040997	1
DB00776	C0040997	1
DB11830	C0023269	1
DB00586	C0031039	1
DB00351	C0034013	1
DB00622	C0751895	1
DB05016	C0010674	1
DB06195	C0010674	1
DB12135	C0010674	1
DB01396	C0010674	1
DB00683	C0006111	1
DB12005	C0079218	1
DB00668	C0018790	1
DB11644	C0002726	1
DB11644	C0268407	1
DB00419	C0020445	0
DB12563	C0577631	0
DB00795	C0751848	0
DB00367	C3160814	0
DB11703	C1879526	0
DB11893	C0750935	0
DB12686	C0023904	0
DB00768	C0338502	0
DB01115	C1621958	0
DB00270	C0497406	0
DB01018	C2931735	0
DB00390	C0241832	0
DB12353	C0265219	0
DB05737	C0422854	0
DB01068	C0265287	0
DB00950	C0270850	0
DB01244	C0751635	0
DB12971	C0559470	0
DB00465	C4750849	0
DB00370	C0023893	0
DB15027	C1837008	0
DB12135	C0035228	0
DB11909	C4505390	0
DB12291	C4310638	0
DB13256	C0520459	0
DB12565	C1850318	0
DB00797	C1258085	0
DB00482	C1527402	0
DB01078	C0027765	0
DB01236	C1866423	0
DB06119	C2677794	0
DB14829	C0038273	0
DB12005	C4755257	0
DB00622	C0740391	0
DB15358	C1720860	0
DB15205	C0342643	0
DB00321	C0152426	0
DB11694	C0337210	0
DB05087	C0156147	0
DB00917	C4015513	0
DB12887	C0432103	0
DB15358	C0032580	0
DB06580	C1955870	0
DB00907	C0009319	0
DB03310	C1262760	0
DB05087	C0178417	0
DB09053	C0553980	0
DB01246	C4748803	0
DB00834	C0011854	0
DB00909	C0085655	0
DB00390	C1832702	0
DB12032	C1859047	0
DB00950	C0796070	0
DB08439	C3714873	0
DB15027	C0017658	0
DB00476	C0339143	0
DB11703	C3661489	0
DB00294	C0393672	0
DB00972	C1859049	0
DB11782	C0751636	0
DB11991	C1969063	0
DB08329	C2750509	0
DB00598	C0543859	0
DB15205	C3501844	0
DB00296	C1845070	0
DB06240	C4225238	0
DB14218	C2585653	0
DB14829	C2675370	0
DB08867	C0334582	0
DB15293	C0265554	0
DB00776	C0019208	0
DB01236	C4015368	0
DB00321	C4015729	0
DB12233	C0376407	0
DB06603	C2585653	0
DB00343	C0878544	0
DB15035	C0015393	0
DB00396	C0751636	0
DB00834	C1141890	0
DB11841	C0752107	0
DB11703	C4279912	0
DB11841	C0020437	0
DB01189	C0010068	0
DB11591	C3495676	0
DB15357	C0011574	0
DB12686	C1844376	0
DB14829	C0751362	0
DB04944	C1384406	0
DB00818	C0338488	0
DB11591	C0424605	0
DB12614	C0038160	0
DB00554	C0036981	0
DB00472	C4748839	0
DB00511	C0006845	0
DB00754	C0008372	0
DB00351	C0026827	0
DB14872	C1856184	0
DB00754	C1335302	0
DB15327	C0235078	0
DB00461	C4750849	0
DB08868	C0948089	0
DB13467	C0035242	0
DB11591	C0346163	0
DB00564	C4757950	0
DB12635	C0343097	0
DB12463	C0033937	0
DB12686	C0751407	0
DB05289	C0272350	0
DB09214	C1142166	0
DB06195	C2750413	0
DB06766	C0751292	0
DB00586	C0020630	0
DB04878	C3854603	0
DB09291	C0557874	0
DB06240	C4721436	0
DB13074	C3810107	0
DB06645	C3489396	0
DB12021	C4479431	0
DB06766	C0007398	0
DB08329	C4721453	0
DB00393	C0427149	0
DB06195	C0013182	0
DB11762	C0036690	0
DB06717	C0265287	0
DB00945	C4547080	0
DB06176	C3808800	0
DB12113	C0334579	0
DB00818	C0017661	0
DB06645	C4551568	0
DB00795	C0242423	0
DB12233	C0205649	0
DB11640	C0235000	0
DB08882	C0392439	0
DB00950	C2063866	0
DB01246	C0162848	0
DB14829	C0001723	0
DB01115	C0205648	0
DB06775	C1443892	0
DB11644	C2350344	0
DB08329	C4049005	0
DB00904	C4015388	0
DB12563	C1837618	0
DB00419	C0752282	0
DB11922	C1571983	0
DB04878	C0020757	0
DB11675	C0023467	0
DB00904	C0019061	0
DB00461	C0677866	0
DB12128	C0023283	0
DB14019	C1859049	0
DB04455	C0036981	0
DB01189	C0000772	0
DB00797	C0002991	0
DB11859	C0009171	0
DB12113	C0001430	0
DB13074	C0751733	0
DB12135	C0012236	0
DB11869	C4012268	0
DB12463	C0494410	0
DB06595	C0027126	0
DB00622	C1864498	0
DB15499	C0236736	0
DB00554	C0220697	0
DB00316	C1863732	0
DB00536	C0220722	0
DB00598	C0032226	0
DB12010	C3714992	0
DB01396	C0266283	0
DB06083	C0205834	0
DB12209	C0234370	0
DB00461	C0175755	0
DB00351	C1266042	0
DB12135	C1832702	0
DB12121	C1279420	0
DB06603	C0349588	0
DB15027	C3860213	0
DB12121	C4012727	0
DB01236	C3711387	0
DB04876	C0151786	0
DB11830	C0266362	0
DB01191	C0234447	0
DB12563	C0240595	0
DB00396	C0340970	0
DB11893	C0022661	0
DB11922	C0151603	0
DB00536	C0018800	0
DB05737	C3714756	0
DB14019	C1868681	0
DB12522	C0520731	0
DB12128	C3714506	0
DB05294	C3489532	0
DB01189	C0032897	0
DB06637	C1838440	0
DB05015	C3887640	0
DB00975	C0038160	0
DB09053	C0242596	0
DB11893	C0266362	0
DB12105	C0086189	0
DB00950	C0376545	0
DB00753	C0265780	0
DB06637	C4748081	0
DB09048	C0002938	0
DB14019	C2677637	0
DB04455	C0751373	0
DB06335	C0149630	0
DB01083	C2748895	0
DB01244	C3501846	0
DB00776	C0003467	0
DB04851	C0346163	0
DB08439	C0234373	0
DB00321	C0085077	0
DB12565	C1837245	0
DB00393	C0007786	0
DB11841	C0039685	0
DB00564	C0162671	0
DB15403	C0206711	0
DB09214	C0268616	0
DB11759	C0008370	0
DB00715	C0600467	0
DB04855	C0020473	0
DB11893	C0334605	0
DB00270	C0205646	0
DB15403	C0855095	0
DB06586	C0205698	0
DB05087	C1623209	0
DB06775	C0234378	0
DB00292	C0033847	0
DB12233	C0751414	0
DB05015	C0242287	0
DB11830	C3280783	0
DB05608	C0002395	0
DB11699	C3860213	0
DB06603	C0025517	0
DB00834	C4551501	0
DB01236	C1837206	0
DB15358	C0237123	0
DB15357	C0334582	0
DB01023	C4479526	0
DB00343	C0205697	0
DB15293	C0751083	0
DB09290	C0796068	0
DB00396	C1861502	0
DB00343	C0238052	0
DB12233	C0162568	0
DB00586	C1527197	0
DB12010	C1527304	0
DB04455	C0600327	0
DB15170	C0002452	0
DB01244	C0005398	0
DB00661	C0013146	0
DB11986	C1861689	0
DB04839	C0024115	0
DB04855	C0427128	0
DB13679	C3241937	0
DB00472	C4317123	0
DB11703	C0086743	0
DB13256	C0018553	0
DB00806	C4721508	0
DB00603	C0086565	0
DB11759	C4551500	0
DB01078	C0007282	0
DB05016	C0020651	0
DB00294	C4016054	0
DB11909	C0268560	0
DB00270	C4748759	0
DB12128	C0017605	0
DB14829	C0007570	0
DB08867	C3554593	0
DB11986	C0029410	0
DB00794	C0030193	0
DB11922	C0001418	0
DB06595	C0023012	0
DB04855	C0023012	0
DB01175	C0398788	0
DB06203	C1852146	0
DB12635	C0023186	0
DB00985	C1135747	0
DB00341	C0376362	0
DB00321	C0796195	0
DB09022	C0024115	0
DB00296	C1135196	0
DB06603	C0751831	0
DB12095	C0263409	0
DB06700	C0023480	0
DB00540	C0702169	0
DB00633	C0038586	0
DB01083	C1832841	0
DB12971	C0971858	0
DB06195	C0403823	0
DB00945	C1456865	0
DB06753	C1327918	0
DB00419	C0037579	0
DB15403	C4721507	0
DB12353	C0751889	0
DB00929	C0343047	0
DB13467	C0009404	0
DB14829	C0079154	0
DB12113	C1849699	0
DB11762	C4721891	0
DB09119	C0086189	0
DB15027	C2751608	0
DB00929	C4479517	0
DB11991	C0149721	0
DB11869	C0003504	0
DB06717	C0220993	0
DB11699	C1864839	0
DB09022	C1274933	0
DB15205	C0344243	0
DB15189	C0282126	0
DB00296	C0013604	0
DB00368	C2063866	0
DB00557	C0432242	0
DB15403	C1863732	0
DB00331	C0410203	0
DB00294	C0546126	0
DB00367	C1266042	0
DB06335	C0037221	0
DB05737	C0033958	0
DB06282	C0205699	0
DB05016	C0019080	0
DB11869	C0848558	0
DB06203	C0242426	0
DB01191	C2931498	0
DB00294	C0521662	0
DB09290	C0376628	0
DB12353	C3553859	0
DB00622	C0752347	0
DB00331	C0019693	0
DB12105	C2931501	0
DB00536	C0009081	0
DB12021	C2750720	0
DB00557	C0033578	0
DB01236	C3280953	0
DB12614	C1859690	0
DB11986	C0205825	0
DB00794	C0038160	0
DB09214	C3810350	0
DB03310	C0751476	0
DB12095	C2936816	0
DB01189	C0751480	0
DB00985	C0024530	0
DB00554	C0272048	0
DB00370	C0277839	0
DB00917	C0342276	0
DB00683	C1865926	0
DB00945	C0270912	0
DB09039	C0948216	0
DB00633	C1857512	0
DB06335	C0015923	0
DB06753	C4225313	0
DB11762	C0155127	0
DB08868	C0205641	0
DB12291	C0020517	0
DB00633	C2678503	0
DB12121	C3852953	0
DB09039	C4693367	0
DB00536	C0751189	0
DB00401	C4017108	0
DB12353	C0011616	0
DB11841	C0010964	0
DB00564	C0080218	0
DB01078	C0007758	0
DB14218	C0028326	0
DB00908	C0751953	0
DB09039	C0206698	0
DB06176	C1961099	0
DB01078	C0036118	0
DB00633	C1968843	0
DB11986	C1832841	0
DB09291	C0035412	0
DB09048	C0342749	0
DB13725	C1852372	0
DB00633	C0162674	0
DB06637	C0003076	0
DB00393	C1861923	0
DB11992	C0178417	0
DB12000	C0037926	0
DB09119	C0021139	0
DB05608	C0234370	0
DB00381	C0152423	0
DB11950	C0020651	0
DB12095	C2931216	0
DB01175	C0338488	0
DB00909	C1852145	0
DB01599	C0020507	0
DB00536	C4551993	0
