drug	disease	label
DB15189	C1621958	1
DB11762	C1621958	1
DB00262	C1621958	1
DB00818	C0018824	1
DB00661	C0007194	1
DB01069	C0020517	1
DB00950	C0020517	1
DB00283	C0020517	1
DB11591	C0020517	1
DB13679	C0020517	1
DB00972	C0020517	1
DB00341	C0020517	1
DB00748	C0020517	1
DB00985	C0020517	1
DB06282	C0020517	1
DB01246	C0020517	1
DB00668	C0004096	1
DB00555	C0004096	1
DB12522	C0004096	1
DB15027	C0004096	1
DB00401	C0007222	1
DB04944	C0007222	1
DB01244	C0007222	1
DB01078	C0007222	1
DB01599	C0007222	1
DB13467	C0007222	1
DB01023	C0007222	1
DB00393	C0007222	1
DB00270	C0007222	1
DB00511	C0007222	1
DB01396	C0007222	1
DB00661	C0007222	1
DB00797	C0007222	1
DB00381	C0007222	1
DB06262	C0007222	1
DB00806	C0007222	1
DB00598	C0007222	1
DB01115	C0007222	1
DB05294	C0549473	1
DB01261	C0020456	1
DB12121	C0023467	1
DB15189	C0023467	1
DB11759	C0023467	1
DB11782	C0023467	1
DB14770	C0023467	1
DB11830	C0023467	1
DB14829	C0023467	1
DB15499	C0042900	1
DB00633	C0022660	1
DB01599	C0017661	1
DB00795	C0003872	1
DB00390	C0004238	1
DB00908	C0004238	1
DB00343	C0004238	1
DB00661	C0004238	1
DB04855	C0004238	1
DB01115	C0004238	1
DB11869	C1292778	1
DB12209	C0002736	1
DB00262	C0017638	1
DB00622	C0948089	1
DB05737	C0948089	1
DB00283	C0026769	1
DB15170	C0026769	1
DB00484	C0026769	1
DB06637	C0026769	1
DB00341	C0026769	1
DB08868	C0026769	1
DB06262	C0393571	1
DB06775	C0220994	1
DB11992	C0011849	1
DB04876	C0011849	1
DB02383	C0011849	1
DB01023	C0011849	1
DB01261	C0011849	1
DB00633	C0011849	1
DB00975	C0011849	1
DB00661	C0011849	1
DB06335	C0011849	1
DB08882	C0011849	1
DB15293	C0011849	1
DB06203	C0011849	1
DB00331	C0011849	1
DB15323	C0011849	1
DB11950	C0011849	1
DB00806	C0011849	1
DB09022	C0011849	1
DB00370	C0393770	1
DB00425	C0393770	1
DB01175	C0393770	1
DB12032	C0393770	1
DB12887	C0205944	1
DB00945	C0017181	1
DB12010	C0040034	1
DB00536	C0151786	1
DB03310	C3463824	1
DB11869	C3463824	1
DB05220	C3463824	1
DB11759	C3463824	1
DB06191	C3463824	1
DB12563	C0032768	1
DB13074	C0006625	1
DB00351	C0006625	1
DB06645	C0006625	1
DB00540	C0017168	1
DB11699	C0011206	1
DB00753	C0011206	1
DB01236	C0011206	1
DB00633	C0011206	1
DB00818	C0011206	1
DB00292	C0011206	1
DB00806	C0019187	1
DB00829	C0003469	1
DB00557	C0003469	1
DB01175	C0003469	1
DB00668	C0029410	1
DB12887	C0025500	1
DB01083	C0019158	1
DB12121	C0024301	1
DB15035	C0024301	1
DB12887	C0024301	1
DB11759	C0023480	1
DB00368	C0278996	1
DB00661	C0007193	1
DB00661	C0024796	1
DB00484	C0017612	1
DB00555	C0494475	1
DB06700	C0013415	1
DB00476	C0013415	1
DB00683	C0020672	1
DB00633	C0020672	1
DB00818	C0020672	1
DB00351	C0003123	1
DB01599	C0020473	1
DB01261	C0020615	1
DB00419	C0017919	1
DB00908	C0024530	1
DB00950	C0035455	1
DB01069	C0033774	1
DB00950	C0033774	1
DB00768	C0033774	1
DB00283	C0033774	1
DB00904	C0033774	1
DB00557	C0033774	1
DB00341	C0033774	1
DB06282	C0033774	1
DB00950	C2607914	1
DB00768	C2607914	1
DB00283	C2607914	1
DB11591	C2607914	1
DB00972	C2607914	1
DB00341	C2607914	1
DB02712	C0011884	1
DB01069	C0042109	1
DB00950	C0042109	1
DB00283	C0042109	1
DB11591	C0042109	1
DB13679	C0042109	1
DB00557	C0042109	1
DB00341	C0042109	1
DB00748	C0042109	1
DB06282	C0042109	1
DB11922	C0035235	1
DB00321	C0018681	1
DB00465	C0018681	1
DB00316	C0018681	1
DB00586	C0018681	1
DB00603	C0007772	1
DB08867	C0023267	1
DB00904	C0028756	1
DB01148	C0032617	1
DB13725	C0032617	1
DB06775	C0025521	1
DB15293	C0011882	1
DB00476	C0011882	1
DB01189	C1565489	1
DB11782	C0019163	1
DB15293	C0007959	1
DB00806	C1561643	1
DB11917	C0023264	1
DB00262	C0004114	1
DB01599	C0007785	1
DB00393	C0007785	1
DB00945	C0031046	1
DB00776	C0040997	1
DB00904	C0040997	1
DB11830	C0023269	1
DB00586	C0031039	1
DB00351	C0034013	1
DB00622	C0751895	1
DB12135	C0010674	1
DB01396	C0010674	1
DB05016	C0010674	1
DB06195	C0010674	1
DB15403	C0036421	1
DB00683	C0006111	1
DB12005	C0079218	1
DB00668	C0018790	1
DB11644	C0002726	1
DB11644	C0268407	1
DB12291	C0235229	0
DB00668	C0392439	0
DB12000	C1384408	0
DB06717	C0026640	0
DB13725	C1257877	0
DB04855	C0026846	0
DB06637	C0006870	0
DB04455	C0020564	0
DB00834	C0024121	0
DB00262	C0001418	0
DB12971	C1384666	0
DB09053	C0265275	0
DB00929	C4310691	0
DB06288	C1134719	0
DB11675	C0162565	0
DB04876	C0751263	0
DB00586	C4016325	0
DB01599	C1836916	0
DB12565	C1832466	0
DB11759	C4551568	0
DB14723	C0242184	0
DB00511	C0242973	0
DB00425	C0752107	0
DB00381	C0454542	0
DB00748	C0020452	0
DB06595	C1864849	0
DB06789	C4310809	0
DB00472	C0993582	0
DB14829	C0002882	0
DB01028	C0020672	0
DB05289	C0741160	0
DB06789	C1868114	0
DB01233	C0677866	0
DB00748	C0432103	0
DB01236	C0086438	0
DB00331	C0342276	0
DB13256	C0750906	0
DB11759	C1135196	0
DB11759	C3149117	0
DB15327	C4755257	0
DB00668	C0034065	0
DB12128	C1843153	0
DB12010	C0751437	0
DB00370	C1850600	0
DB15357	C0027794	0
DB14872	C0241772	0
DB00598	C0338070	0
DB04832	C0233514	0
DB00393	C0271686	0
DB12745	C4551720	0
DB00368	C1134719	0
DB12563	C4539937	0
DB09022	C0155536	0
DB01236	C0751217	0
DB13256	C1860819	0
DB00280	C0750951	0
DB11762	C0023212	0
DB08439	C0205650	0
DB13725	C0017668	0
DB11909	C2931498	0
DB06637	C0751564	0
DB08439	C1266042	0
DB00401	C0342898	0
DB00555	C3714758	0
DB06282	C0458247	0
DB00659	C0887799	0
DB06083	C0751529	0
DB12095	C0431362	0
DB11699	C0242526	0
DB02712	C0011609	0
DB11992	C1864849	0
DB01069	C1955870	0
DB01028	C0270715	0
DB00715	C4310764	0
DB01395	C0086743	0
DB00511	C0016579	0
DB11991	C0236795	0
DB01189	C0917800	0
DB12463	C1961099	0
DB05737	C0025294	0
DB11762	C0423618	0
DB12565	C0857501	0
DB00972	C0265260	0
DB12353	C3280296	0
DB11909	C0265333	0
DB00367	C0017920	0
DB01191	C0994516	0
DB00622	C0206762	0
DB06700	C2750824	0
DB15357	C0342276	0
DB01104	C0403447	0
DB04455	C1863012	0
DB06262	C0270720	0
DB12128	C3553886	0
DB00404	C0013221	0
DB11950	C0162770	0
DB11675	C0030305	0
DB00292	C0002622	0
DB12887	C0032460	0
DB11841	C4551993	0
DB12836	C1852372	0
DB05220	C0878659	0
DB00351	C0473527	0
DB04878	C0221227	0
DB00419	C3658290	0
DB00945	C0268385	0
DB00316	C0011570	0
DB13679	C0751175	0
DB01018	C0020459	0
DB00945	C0151699	0
DB04832	C1847626	0
DB00351	C0041755	0
DB12887	C1443892	0
DB00806	C0750974	0
DB00806	C0205696	0
DB00985	C0026998	0
DB00390	C0268318	0
DB04878	C0338502	0
DB12209	C0685786	0
DB00776	C0423618	0
DB05087	C0231688	0
DB06775	C0152101	0
DB00909	C0024302	0
DB00985	C0026766	0
DB13074	C1857811	0
DB06185	C3711387	0
DB00972	C0427177	0
DB05983	C0027080	0
DB01068	C0042133	0
DB01261	C0024667	0
DB13074	C0024121	0
DB15403	C0037822	0
DB05294	C0031039	0
DB00633	C1864850	0
DB00316	C0013502	0
DB00668	C0376362	0
DB06203	C0751081	0
DB00795	C0751523	0
DB00381	C0265110	0
DB08867	C1864839	0
DB15293	C0751701	0
DB09290	C0025958	0
DB06262	C1836916	0
DB06197	C0334608	0
DB06637	C0751175	0
DB04944	C0023976	0
DB06203	C1707291	0
DB08329	C0017639	0
DB00929	C4225359	0
DB00673	C0813142	0
DB01244	C0796147	0
DB00472	C0027746	0
DB00754	C1858516	0
DB08142	C0020256	0
DB06753	C0029927	0
DB13725	C0079731	0
DB12745	C0153633	0
DB09214	C3896578	0
DB15357	C0234373	0
DB00370	C0752122	0
DB00273	C1961099	0
DB04839	C0205645	0
DB06083	C0079297	0
DB12778	C2677794	0
DB15189	C1257963	0
DB00351	C0004903	0
DB15170	C0158252	0
DB04855	C0427177	0
DB09068	C4721507	0
DB04839	C0588008	0
DB06717	C0268312	0
DB08142	C3808494	0
DB06083	C1857811	0
DB00536	C0476089	0
DB00476	C0432217	0
DB00985	C0796182	0
DB06717	C0025945	0
DB00929	C0019187	0
DB05289	C0037769	0
DB11909	C1141890	0
DB11699	C3888102	0
DB00557	C2936718	0
DB06197	C0041955	0
DB04953	C0472792	0
DB01078	C0220998	0
DB00673	C0751511	0
DB11699	C0020672	0
DB06580	C0993582	0
DB01233	C2584774	0
DB00795	C1843244	0
DB00368	C4748839	0
DB06176	C3501846	0
DB00661	C4225303	0
DB12635	C2936346	0
DB00598	C4518356	0
DB00776	C2678484	0
DB05015	C0002895	0
DB11762	C0496930	0
DB00351	C2750481	0
DB00476	C0422852	0
DB15293	C3463824	0
DB13074	C4014408	0
DB00929	C0221026	0
DB14829	C0001973	0
DB11782	C0270720	0
DB12233	C0005587	0
DB06789	C1847626	0
DB14723	C1136210	0
DB14019	C0266453	0
DB09048	C4748579	0
DB12000	C0020615	0
DB12565	C0009806	0
DB06119	C0917798	0
DB01028	C0033687	0
DB11869	C4721453	0
DB00280	C4721507	0
DB12686	C0206146	0
DB00482	C0751919	0
DB15189	C0020538	0
DB00712	C0334606	0
DB14723	C0334583	0
DB06203	C0235527	0
DB12128	C0152267	0
DB06753	C4721806	0
DB06288	C0018614	0
DB13467	C0751176	0
DB12836	C0472792	0
DB06191	C0243050	0
DB04851	C0037116	0
DB00296	C4310691	0
DB00661	C0751036	0
DB05289	C0029453	0
DB04878	C0011881	0
DB15189	C2676024	0
DB15327	C0521760	0
DB09022	C0477432	0
DB11699	C3887633	0
DB15499	C0271673	0
DB11762	C4748827	0
DB11675	C4310710	0
DB15035	C0162834	0
DB00390	C0042769	0
DB00555	C0007282	0
DB11917	C0086540	0
DB06637	C1864694	0
DB01069	C0344724	0
DB12021	C0751036	0
DB06580	C0752100	0
DB01175	C0340569	0
DB12353	C1861863	0
DB01191	C4316812	0
DB06083	C0751886	0
DB00753	C1868120	0
DB13679	C0751919	0
DB11675	C0496930	0
DB08439	C1864849	0
DB12887	C0019054	0
DB12944	C0278876	0
DB12209	C0264893	0
DB00929	C1879526	0
DB06645	C0037769	0
DB11909	C0334634	0
DB06335	C0020757	0
DB06195	C0234357	0
DB12010	C0023485	0
DB00425	C2750720	0
DB00972	C0236663	0
DB01189	C0006114	0
DB00294	C1847501	0
DB13074	C1868679	0
DB09214	C0266551	0
DB15403	C0151857	0
DB05015	C2931743	0
DB11762	C0751422	0
DB00754	C0039590	0
DB00482	C0022548	0
DB12353	C1842073	0
DB06595	C0376338	0
DB06119	C0427190	0
DB14829	C1833340	0
DB13679	C3150973	0
DB09214	C0600467	0
DB00484	C0205698	0
DB09290	C4748766	0
DB11922	C0036996	0
DB00280	C1510502	0
DB06766	C0206644	0
DB11869	C3151356	0
DB00715	C1527304	0
DB00776	C3887992	0
DB01233	C1865343	0
DB00393	C4693531	0
DB06185	C0085129	0
DB04851	C1854416	0
DB05016	C0162530	0
DB00401	C1565951	0
DB11759	C0269102	0
DB12635	C1960469	0
DB11893	C0432242	0
DB11762	C0020758	0
DB12745	C3714927	0
DB01175	C0036982	0
DB15189	C0521760	0
DB00829	C2930619	0
DB00622	C4225238	0
DB00829	C2936170	0
DB08868	C0751472	0
DB15027	C0685786	0
DB01023	C0265261	0
DB01068	C2931189	0
DB00262	C2936170	0
DB14870	C0546126	0
DB01148	C0031039	0
DB12113	C0011644	0
DB11830	C0015934	0
DB00795	C0220663	0
DB00331	C0265260	0
DB00904	C2673630	0
DB01189	C0677050	0
DB01599	C0521619	0
DB11694	C0009952	0
DB12000	C0003811	0
DB06119	C0345905	0
DB15293	C0020796	0
DB00795	C1849348	0
DB00908	C1879286	0
DB14770	C0035258	0
DB01115	C0424068	0
DB14829	C1848172	0
DB12021	C0231688	0
DB01148	C0751471	0
DB01115	C0087086	0
DB00316	C0263666	0
DB12778	C0007193	0
DB02712	C0038273	0
DB11759	C0149886	0
DB00829	C0263984	0
DB00465	C3495559	0
DB06288	C0162871	0
DB02712	C0266539	0
DB06119	C0162670	0
DB14218	C1527337	0
DB06766	C1257964	0
DB06789	C0393734	0
DB00554	C0023014	0
DB01191	C0596298	0
DB00368	C0022876	0
DB04876	C0151879	0
DB00482	C0025945	0
DB15357	C0751014	0
DB00321	C1865384	0
DB06717	C1845181	0
DB08867	C0857439	0
DB11778	C0751316	0
DB11992	C0023518	0
DB11986	C1567257	0
DB00929	C0011853	0
DB15323	C3151446	0
DB06195	C2678477	0
DB01233	C0236736	0
DB06775	C0085700	0
DB02383	C0348626	0
DB00985	C0004936	0
DB00795	C0022596	0
DB09290	C0263984	0
DB00381	C2752007	0
DB11782	C0234378	0
DB00465	C0240595	0
DB06335	C3178806	0
DB06185	C4225348	0
DB12135	C1853371	0
DB00351	C0233776	0
DB00343	C0242596	0
DB00419	C0345967	0
DB00668	C0011860	0
DB04839	C0751412	0
DB00540	C0206686	0
DB08329	C4755257	0
DB00283	C0023448	0
DB06717	C0265333	0
DB00950	C0745103	0
DB11782	C3151228	0
DB11859	C1863999	0
DB00829	C0004763	0
DB00425	C0206146	0
DB11640	C0003467	0
DB00554	C0268318	0
DB00554	C0032045	0
DB12010	C0750977	0
DB01261	C1879677	0
DB00715	C0019209	0
DB06789	C0858252	0
DB06637	C1370889	0
DB06580	C3658302	0
DB00797	C0268374	0
DB06645	C0029459	0
DB11917	C1846896	0
DB11869	C0342257	0
DB01395	C0345354	0
DB06717	C0003944	0
DB06197	C0234374	0
DB12635	C0035304	0
DB06197	C0002878	0
DB12944	C3551954	0
DB08882	C0038870	0
DB00950	C1837218	0
DB00511	C0751437	0
DB12614	C1510502	0
DB11762	C0266484	0
DB06789	C0949804	0
DB12836	C0014868	0
DB12209	C1879645	0
DB01246	C0020255	0
DB09290	C0265341	0
DB01233	C1851286	0
DB09053	C4014578	0
DB01115	C0422853	0
DB06603	C0268146	0
DB11950	C0003886	0
DB06288	C3714208	0
DB01396	C3502492	0
DB15189	C0344559	0
DB00294	C0233775	0
DB08329	C1858501	0
DB13725	C0002871	0
DB12010	C0273115	0
DB01175	C0035228	0
DB00598	C0557874	0
DB11778	C0221765	0
DB00540	C0038433	0
DB06586	C4551628	0
DB01246	C0270458	0
DB01104	C4505390	0
DB01261	C0022596	0
DB00950	C0234162	0
DB09290	C0086664	0
DB00929	C0234533	0
DB01104	C0751475	0
DB09290	C0010674	0
DB12113	C3280378	0
DB05016	C1852438	0
DB11759	C1275081	0
DB14218	C3280240	0
DB06288	C0751476	0
DB00904	C0013274	0
DB00806	C3805278	0
DB11991	C3163622	0
DB08867	C0751529	0
DB12353	C0270790	0
DB15035	C0042594	0
DB00461	C1838979	0
DB15358	C0002962	0
DB00419	C1869115	0
DB05608	C0472388	0
DB06203	C0432417	0
DB04832	C4310809	0
DB09291	C3714618	0
DB00586	C0311335	0
DB00975	C0268616	0
DB12135	C0015306	0
DB00476	C0040427	0
DB00754	C0432217	0
DB05016	C4748455	0
