child,parent
DB11759,Drug
DB00419,A16AX06
DB09039,A16AX10
DB14872,Drug
DB01599,C10AX02
DB11869,Drug
DB06191,Drug
DB06240,Drug
DB04851,Drug
DB00668,A01AD01
DB00668,R03AK01
DB00668,B02BC09
DB00668,C01CA24
DB00668,S01EA01
DB00668,R01AA14
DB00668,R03AA01
DB00668,S01EA51
DB00368,C01CA03
DB00633,N05CM18
DB00370,N06AX11
DB00797,M02AX02
DB00797,C04AB02
DB01018,C02AC02
DB00598,C07BG01
DB00598,C07CG01
DB00598,C07AG01
DB00484,D11AX21
DB00484,S01GA07
DB00484,S01EA05
DB06262,C01CA27
DB06083,Drug
DB15293,Drug
DB02383,A10XA01
DB02712,Drug
DB01396,C01AA04
DB01078,C01AA07
DB00390,C01AA05
DB00511,C01AA01
DB13467,C01AA06
DB05220,Drug
DB11778,Drug
DB11694,Drug
DB05608,Drug
DB12563,Drug
DB04455,Drug
DB11782,Drug
DB12000,Drug
DB15189,Drug
DB11703,L01EL02
DB15035,L01EL03
DB09053,L01EL01
DB15327,Drug
DB15170,Drug
DB08329,N03AX03
DB00343,C08DB01
DB00343,C05AE03
DB01023,C07FB02
DB01023,C08CA02
DB01023,C09BB05
DB00270,C08CA03
DB04855,C01BD07
DB00381,C09XA54
DB00381,C10BX07
DB00381,C09BB03
DB00381,C09BB04
DB00381,C07FB07
DB00381,C09DB06
DB00381,C10BX18
DB00381,C07FB12
DB00381,C09DB05
DB00381,C09XA53
DB00381,C10BX03
DB00381,C07FB13
DB00381,C08CA01
DB00381,C09BX04
DB00381,C09BX03
DB00381,C09DB04
DB00381,C09DX03
DB00381,C08GA02
DB00381,C09DB07
DB00381,C09DX06
DB00381,C09BX01
DB00381,C10BX11
DB00381,C09DB02
DB00381,C10BX09
DB00381,C08CA51
DB00381,C09DX01
DB00381,C09DB09
DB00381,C09DB01
DB00381,C10BX14
DB00381,C09BB07
DB00381,C09DX07
DB13725,G04BD05
DB00661,C09BB10
DB00661,C08DA51
DB00661,C08DA01
DB01115,C08CA55
DB01115,C08GA01
DB01115,C08CA05
DB01115,C07FB03
DB00622,C08CA04
DB00393,C08CA06
DB00401,C08CA07
DB01244,C08EA02
DB12944,A03AX12
DB12105,Drug
DB12032,Drug
DB12021,Drug
DB08142,Drug
DB06195,Drug
DB12686,Drug
DB15357,Drug
DB06775,A16AA05
DB12614,Drug
DB12135,Drug
DB11922,Drug
A10BH05,A10BH
A10BH,A10B
A10B,A10
A10,A
A,Drug
A10BD19,A10BD
A10BD,A10B
A10BD11,A10BD
A10BD27,A10BD
A10BH02,A10BH
A10BD08,A10BD
A10BH51,A10BH
A10BD24,A10BD
A10BD07,A10BD
A10BH01,A10BH
A10BD12,A10BD
A10BD21,A10BD
A10BD25,A10BD
A10BH03,A10BH
A10BD10,A10BD
A10BD13,A10BD
A10BD09,A10BD
A10BH04,A10BH
A10BH08,A10BH
L01EX04,L01EX
L01EX,L01E
L01E,L01
L01,L
L,Drug
L01XX72,L01XX
L01XX,L01X
L01X,L01
N01AB08,N01AB
N01AB,N01A
N01A,N01
N01,N
N,Drug
N01AX10,N01AX
N01AX,N01A
N03AX11,N03AX
N03AX,N03A
N03A,N03
N03,N
N02BG09,N02BG
N02BG,N02B
N02B,N02
N02,N
N03AX25,N03AX
N05CB01,N05CB
N05CB,N05C
N05C,N05
N05,N
N03AA03,N03AA
N03AA,N03A
N05CM07,N05CM
N05CM,N05C
N01AX07,N01AX
N01AB06,N01AB
N07BB03,N07BB
N07BB,N07B
N07B,N07
N07,N
N01AB07,N01AB
N03AE01,N03AE
N03AE,N03A
N05BA12,N05BA
N05BA,N05B
N05B,N05
N05CD08,N05CD
N05CD,N05C
N05BA09,N05BA
N05BA01,N05BA
N05CF02,N05CF
N05CF,N05C
N03AX27,N03AX
V04CD06,V04CD
V04CD,V04C
V04C,V04
V04,V
V,Drug
L01AD01,L01AD
L01AD,L01A
L01A,L01
L01XH03,L01XH
L01XH,L01X
L01XH02,L01XH
L01XH04,L01XH
L01XH05,L01XH
R06AB52,R06AB
R06AB,R06A
R06A,R06
R06,R
R,Drug
R06AB02,R06AB
S01GX12,S01GX
S01GX,S01G
S01G,S01
S01,S
S,Drug
R06AE07,R06AE
R06AE,R06A
R06AX19,R06AX
R06AX,R06A
S01GX07,S01GX
R01AC03,R01AC
R01AC,R01A
R01A,R01
R01,R
R06AE09,R06AE
R06AA11,R06AA
R06AA,R06A
D04AA14,D04AA
D04AA,D04A
D04A,D04
D04,D
D,Drug
R06AA54,R06AA
R06AA04,R06AA
R06AD52,R06AD
R06AD,R06A
D04AA10,D04AA
V03AB05,V03AB
V03AB,V03A
V03A,V03
V03,V
R06AD02,R06AD
R06AA08,R06AA
N05BB01,N05BB
N05BB,N05B
N05BB51,N05BB
R06AD01,R06AD
S01GX13,S01GX
R06AX29,R06AX
R06AX26,R06AX
S01GX11,S01GX
S01GX09,S01GX
R01AC08,R01AC
A04AA03,A04AA
A04AA,A04A
A04A,A04
A04,A
A03FA01,A03FA
A03FA,A03F
A03F,A03
A03,A
A03FA09,A03FA
A04AA01,A04AA
A04AA55,A04AA
A04AA05,A04AA
N05AH06,N05AH
N05AH,N05A
N05A,N05
N06AB02,N06AB
N06AB,N06A
N06A,N06
N06,N
N05AL05,N05AL
N05AL,N05A
A08AA04,A08AA
A08AA,A08A
A08A,A08
A08,A
N07XX07,N07XX
N07XX,N07X
N07X,N07
N03AX21,N03AX
N07XX05,N07XX
A10BF03,A10BF
A10BF,A10B
A10BD23,A10BD
A10BD02,A10BD
A10BD18,A10BD
A10BA02,A10BA
A10BA,A10B
A10BD22,A10BD
A10BD14,A10BD
A10BD16,A10BD
A10BD17,A10BD
A10BD05,A10BD
A10BD15,A10BD
A10BD26,A10BD
A10BD20,A10BD
A10BD03,A10BD
L01EX14,L01EX
L01EX12,L01EX
B01AC07,B01AC
B01AC,B01A
B01A,B01
B01,B
B,Drug
C04AD03,C04AD
C04AD,C04A
C04A,C04
C04,C
C,Drug
R03DA20,R03DA
R03DA,R03D
R03D,R03
R03,R
G04BD02,G04BD
G04BD,G04B
G04B,G04
G04,G
G,Drug
G03AA08,G03AA
G03AA,G03A
G03A,G03
G03,G
G03DA02,G03DA
G03DA,G03D
G03D,G03
G03FB06,G03FB
G03FB,G03F
G03F,G03
G03FA12,G03FA
G03FA,G03F
L02AB02,L02AB
L02AB,L02A
L02A,L02
L02,L
G03AA17,G03AA
G03AC06,G03AC
G03AC,G03A
G03FA04,G03FA
G03DA04,G03DA
G03XB01,G03XB
G03XB,G03X
G03X,G03
G03XB51,G03XB
G03AB03,G03AB
G03AB,G03A
G03AD01,G03AD
G03AD,G03A
G03AC03,G03AC
G03FB09,G03FB
G03AA07,G03AA
G03FA11,G03FA
G03FB04,G03FB
G03DB02,G03DB
G03DB,G03D
G03FA08,G03FA
G03AC05,G03AC
L02AB01,L02AB
G03AA04,G03AA
G03AB01,G03AB
G03HB01,G03HB
G03HB,G03H
G03H,G03
G03HA01,G03HA
G03HA,G03H
G03AC08,G03AC
G03AD02,G03AD
G03XB02,G03XB
G03AA18,G03AA
G03AC10,G03AC
G03FA17,G03FA
G03AA12,G03AA
A08AB01,A08AB
A08AB,A08A
C01EB13,C01EB
C01EB,C01E
C01E,C01
C01,C
L01EX10,L01EX
G02AD06,G02AD
G02AD,G02A
G02A,G02
G02,G
A02BB01,A02BB
A02BB,A02B
A02B,A02
A02,A
M01AE56,M01AE
M01AE,M01A
M01A,M01
M01,M
M,Drug
G02AD02,G02AD
M01AB15,M01AB
M01AB,M01A
S01FB51,S01FB
S01FB,S01F
S01F,S01
S01BC05,S01BC
S01BC,S01B
S01B,S01
B01AC06,B01AC
C07FX04,C07FX
C07FX,C07F
C07F,C07
C07,C
C10BX04,C10BX
C10BX,C10B
C10B,C10
C10,C
M01BA03,M01BA
M01BA,M01B
M01B,M01
N02BA71,N02BA
N02BA,N02B
C10BX02,C10BX
B01AC56,B01AC
N02AJ07,N02AJ
N02AJ,N02A
N02A,N02
N02AJ02,N02AJ
N02BA01,N02BA
C10BX05,C10BX
N02BA51,N02BA
A01AD05,A01AD
A01AD,A01A
A01A,A01
A01,A
C10BX01,C10BX
C07FX03,C07FX
N02AJ18,N02AJ
C10BX12,C10BX
C10BX08,C10BX
C10BX06,C10BX
C07FX02,C07FX
M02AA27,M02AA
M02AA,M02A
M02A,M02
M02,M
N02AJ14,N02AJ
M01AE17,M01AE
N02BE71,N02BE
N02BE,N02B
N02BE01,N02BE
N02AJ13,N02AJ
N02AJ17,N02AJ
N02BE51,N02BE
N02AJ06,N02AJ
N02AJ01,N02AJ
N02AJ16,N02AJ
M01AH01,M01AH
M01AH,M01A
G01AE10,G01AE
G01AE,G01A
G01A,G01
G01,G
L01XX33,L01XX
C08CA51,C08CA
C08CA,C08C
C08C,C08
C08,C
M01AC01,M01AC
M01AC,M01A
M02AA07,M02AA
S01BC06,S01BC
A07EC01,A07EC
A07EC,A07E
A07E,A07
A07,A
S01CC01,S01CC
S01CC,S01C
S01C,S01
S01BC03,S01BC
M01AB55,M01AB
M02AA15,M02AA
M01AB05,M01AB
D11AX18,D11AX
