node	type
C4551568	disease
56938.0	gene
C0085762	disease
10109.0	gene
429.0	gene
C0242488	disease
C0020796	disease
C0025363	disease
C0917816	disease
C0149925	disease
C1275808	disease
C1859049	disease
80816.0	gene
C3809650	disease
C0079772	disease
C1535926	disease
467.0	gene
C0238281	disease
C0740376	disease
C0740391	disease
C0740392	disease
C0751845	disease
C0751846	disease
C0751847	disease
C0751848	disease
C0751849	disease
C0919267	disease
C1140680	disease
C0002152	disease
C0011853	disease
C0011860	disease
C0038433	disease
C0848558	disease
C0021400	disease
C0033141	disease
C0036529	disease
C0878544	disease
468.0	gene
C0003129	disease
C0003130	disease
C0021367	disease
C0242184	disease
C0700292	disease
C1134719	disease
478.0	gene
C0013421	disease
C0242422	disease
C0242423	disease
C0393588	disease
C0393610	disease
C0751093	disease
C0752097	disease
C0752098	disease
C0752100	disease
C0752101	disease
C0752104	disease
C0752105	disease
C1868675	disease
C1868681	disease
C0018801	disease
C0018802	disease
C0023212	disease
C0235527	disease
C0242698	disease
C1959583	disease
C1961112	disease
C0178417	disease
C0338488	disease
C1832466	disease
C3549447	disease
C3553788	disease
DB01396	drug
DB01078	drug
DB00390	drug
DB00511	drug
DB13467	drug
50617.0	gene
C1864498	disease
C1704380	disease
5205.0	gene
C4551898	disease
C4551899	disease
C3549845	disease
C0268318	disease
C0008372	disease
C0268312	disease
C3489728	disease
64756.0	gene
C4757950	disease
6790.0	gene
C0002938	disease
C1257806	disease
C0007112	disease
C0278883	disease
C1319315	disease
DB05220	drug
DB11778	drug
DB11694	drug
DB05608	drug
563.0	gene
C0037199	disease
C0001418	disease
C0024121	disease
C0205641	disease
C0205642	disease
C0205643	disease
C0205644	disease
C0205645	disease
C0242379	disease
572.0	gene
C0007787	disease
C0472381	disease
C0751019	disease
C0751020	disease
C0751021	disease
C0751022	disease
C0917805	disease
C1527335	disease
C0023418	disease
578.0	gene
C0007102	disease
C0009375	disease
C0027746	disease
C0019207	disease
C0019208	disease
C0023904	disease
C0086404	disease
C0027051	disease
8815.0	gene
C3151446	disease
8537.0	gene
C2931456	disease
C4722327	disease
586.0	gene
64919.0	gene
C0024299	disease
C4310656	disease
C4748152	disease
10018.0	gene
C0008313	disease
C0566602	disease
53630.0	gene
C2676023	disease
C2676024	disease
623.0	gene
C0014556	disease
C0014558	disease
C0393672	disease
C0393682	disease
DB12563	drug
8678.0	gene
C0038220	disease
C0270823	disease
C0311335	disease
C0393734	disease
C0751522	disease
C0751523	disease
C0751524	disease
C0752347	disease
139105.0	gene
C0087031	disease
C3495559	disease
C3714758	disease
C4552091	disease
C4704862	disease
79365.0	gene
C0751508	disease
C0751509	disease
C0751510	disease
C0751511	disease
C0851578	disease
C4042891	disease
23743.0	gene
C0008924	disease
C0008925	disease
C1837218	disease
DB04455	drug
330.0	gene
C0019693	disease
C4505456	disease
C0005684	disease
